date, pm25, o3
2017/1/9, 999, 500
2017/1/10, 999, 500
2017/1/11, 999, 500
2017/1/12, 999, 500
2017/1/13, 999, 500
2017/1/14, 999, 500
2017/1/15, 999, 500
2017/1/16, 999, 500
2017/1/17, 999, 500
2017/1/18, 999, 500
2017/1/19, 999, 500
2017/1/20, 999, 500
2017/1/21, 999, 500
2017/1/22, 999, 500
2017/1/23, 994, 500
2017/1/24, 967, 500
2017/1/25, 999, 500
2017/1/26, 999, 500
2017/1/27, 999, 500
2017/1/28, 999, 
2017/1/30, 993, 500
2017/2/1, 999, 500
2017/2/2, 999, 500
2017/2/3, 999, 500
2017/2/4, 999, 500
2017/2/5, 999, 500
2017/2/6, 999, 500
2017/2/7, 999, 500
2017/2/8, 999, 500
2017/2/9, 999, 500
2017/2/10, 999, 500
2017/2/11, 999, 500
2017/2/12, 987, 500
2017/2/13, 999, 500
2017/2/14, 999, 500
2017/2/15, 999, 500
2017/2/16, 999, 500
2017/2/22, 999, 500
2017/2/23, 999, 500
2017/2/24, 999, 500
2017/2/25, 890, 500
2017/2/26, 999, 500
2017/2/27, 999, 500
2017/2/28, 968, 500
2017/3/1, 885, 500
2017/3/2, 999, 500
2017/3/3, 999, 500
2017/3/4, 999, 500
2017/3/5, 981, 500
2017/3/6, 983, 500
2017/3/7, 999, 500
2017/3/8, 985, 500
2017/3/9, 976, 500
2017/3/10, 958, 500
2017/3/11, 999, 500
2017/3/12, 999, 500
2017/3/13, 999, 500
2017/3/14, 999, 500
2017/3/15, 992, 500
2017/3/16, 999, 500
2017/3/17, 999, 500
2017/3/18, 999, 500
2017/3/19, 999, 500
2017/3/20, 999, 500
2017/3/21, 999, 500
2017/3/22, 999, 500
2017/3/23, 994, 500
2017/3/24, 981, 500
2017/3/25, 999, 500
2017/3/26, 999, 500
2017/3/27, 955, 500
2017/3/28, 982, 500
2017/3/29, 905, 500
2017/3/30, 924, 500
2017/3/31, 763, 500
2016/10/1, 501, 500
